date,box,sentiment
2025/1/29,48750,0.456236274
2025/1/30,48035,1.72295825
2025/1/31,61917,0.884568583
2025/2/1,73157,0.387957505
2025/2/2,81278,0.706831548
2025/2/3,84363,0.636405032
2025/2/4,86672,0.933859739
2025/2/5,64957,1.212941144
2025/2/6,58598,1.624319003
2025/2/7,54171,1.5280508
2025/2/8,62009,1.039653151
2025/2/9,76152,1.015599946
2025/2/10,48167,0.895796424
2025/2/11,48214,0.730560517
2025/2/12,53341,0.622111827
2025/2/13,36035,0.578066107
2025/2/14,58111,0.553109876
2025/2/15,78792,0.943479957
2025/2/16,61418,0.990523023
2025/2/17,19393,0.903401722
2025/2/18,16648,0.961304441
2025/2/19,14577,0.896868987
2025/2/20,12831,0.857788354
2025/2/21,22884,0.68306727
2025/2/22,52102,0.300663384
2025/2/23,35181,0.085197615
2025/2/24,7450,-0.097054014
2025/2/25,6132,-0.128956232
2025/2/26,5329,-0.238915472
2025/2/27,4888,-0.358338347
2025/2/28,9661,-0.412937214
2025/3/1,23440,-0.513705228
2025/3/2,14092,-0.569131847
2025/3/3,2813,-0.655431121
2025/3/4,2466,-0.676160349
2025/3/5,2291,-0.658624888
2025/3/6,2279,-0.718342233
2025/3/7,5619,-0.809106284
2025/3/8,14187,-0.887015073
2025/3/9,7601,-0.837786192
2025/3/10,1558,-0.7730337
2025/3/11,1419,-0.670434458
2025/3/12,1320,-0.634072385
2025/3/13,1192,-0.670664431
2025/3/14,2386,-0.701540048
2025/3/15,7313,-0.692168438
2025/3/16,5138,-0.586574956
2025/3/17,1016,-0.629665774
2025/3/18,918,-0.699218489
2025/3/19,848,-0.718663548
2025/3/20,791,-0.712817029
2025/3/21,1505,-0.545883038
2025/3/22,4201,-0.500844263
2025/3/23,2871,-0.355978623
2025/3/24,612,-0.232723937